Date,Close,High,Low,Open,Volume
7/17/2000,27.63870811,28.30014899,27.3079906,28.30014899,4453928
7/18/2000,27.02451706,27.35523751,26.74104281,27.35523751,4697415
7/19/2000,27.96943092,28.39464086,27.54422098,27.54422098,5997669
7/20/2000,29.19781685,29.71751918,28.34739699,28.34739699,5472884
7/21/2000,28.30015564,29.24506806,28.11117374,29.19782185,3783376
7/24/2000,27.68595505,28.15841116,27.63870885,28.15841116,2980639
7/25/2000,28.34738731,28.44187675,27.44971864,27.68594662,3741409
7/26/2000,28.7726078,28.91434348,28.01667739,28.34739786,4708971
7/27/2000,28.7253685,29.10333526,28.39464795,28.77261471,2734009
7/28/2000,28.630867,28.86709503,28.11116475,28.72535646,2513229
7/31/2000,29.15058327,29.29232192,28.72537315,28.72537315,4192296
8/1/2000,29.85926056,30.47345242,29.48129387,29.48129387,8352357
8/2/2000,30.33171654,30.37896274,29.90650365,29.90650365,4612063
8/3/2000,32.12705231,32.50501608,29.81201469,30.33171707,4451698
8/4/2000,32.0798111,32.36328543,30.94591668,32.12705731,14958844
8/7/2000,31.04040146,31.74908573,30.66243768,31.74908573,6137658
8/8/2000,31.27661705,31.84356541,31.27661705,31.27661705,5025139
8/9/2000,30.75691986,31.56009635,30.47344564,31.27662212,3653827
8/10/2000,30.61519241,30.80417431,29.9065052,30.7569281,3669437
8/11/2000,30.70967865,31.27662422,30.52069387,30.61518626,4936645
8/14/2000,30.94590759,30.99315087,30.52069475,30.70967954,2838216
8/15/2000,30.61519241,31.08764861,30.2372257,30.94591292,2917182
8/16/2000,30.14273453,30.52069829,29.67027544,30.52069829,2645920
8/17/2000,30.37896347,30.37896347,29.71752248,30.14273538,2357223
8/18/2000,29.57578659,30.23722466,29.2923123,30.23722466,4544957
8/21/2000,29.05608749,29.67027943,28.81985938,29.57578993,3069032
8/22/2000,28.67811203,29.05607865,28.48913018,29.05607865,3705220
8/23/2000,28.30015564,29.00883996,28.30015564,28.67811944,3304714
